id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
50698,25349,50699,4388,4882,30158009,2000,362,1000,40,0,0
50699,25349,50698,4882,4388,469841991,2000,362,1000,40,0,0
50700,25350,50701,1940,4882,24323018,1000,100,1000,40,0,0
50701,25350,50700,4882,1940,475676982,1000,100,1000,40,0,0
50702,25351,50703,2064,130,61233933,0,4100,1000,40,0,1
50703,25351,50702,130,2064,1168917067,1,2877,1000,40,0,0
50704,25352,50705,2064,326,63013431,0,4300,1000,40,0,0
50705,25352,50704,326,2064,1164468569,1,1,1000,144,0,8
50706,25353,50707,4889,400,5346527,1000,250,1000,40,0,0
50707,25353,50706,400,4889,794653473,1000,1,1000,40,0,0
50708,25354,50709,5143,177,451201711,1000,1,1000,40,0,0
50709,25354,50708,177,5143,4548798289,1000,100,1,144,0,1
50710,25355,50711,4225,3637,450216539,1000,1,1000,40,0,0
50711,25355,50710,3637,4225,4549783461,1000,1,1000,40,0,0
50712,25356,50713,4882,5043,10054031,1000,1,1000,40,0,0
50713,25356,50712,5043,4882,489945969,2000,2,1000,40,0,0
50714,25357,50715,4882,151,9373619,1000,1,1000,40,0,0
50715,25357,50714,151,4882,490626381,2,0,1,144,0,0
50716,25358,50717,77,4696,6580612,1000,1700,1000,40,0,0
50717,25358,50716,4696,77,293419388,1000,1,1000,40,0,0
50718,25359,50719,4897,4889,363859609,0,0,1000,40,0,28
50719,25359,50718,4889,4897,4636140391,1000,250,1000,40,0,0
50720,25360,50721,5144,2761,19282547,1000,1,1000,40,0,0
50721,25360,50720,2761,5144,230717453,1000,1,1,40,0,1
50722,25361,50723,4759,177,310615791,1000,100,1,144,0,0
50723,25361,50722,177,4759,49689384209,1000,100,10000,144,0,0
50724,25362,50725,4667,130,187996915,1000,1,1000,40,0,0
50725,25362,50724,130,4667,1812003085,1,4,1000,40,0,0
50726,25363,50727,5117,3164,232098918,3000,250,1000,40,0,0
50727,25363,50726,3164,5117,4767901082,1000,1,1000,40,0,0
50728,25364,50729,4304,2691,100138403,1000,90,1000,40,0,0
50729,25364,50728,2691,4304,1899861597,1000,1,1000,40,0,0
50730,25365,50731,2382,282,201674700,0,1,1,10,0,1
50731,25365,50730,282,2382,4798325300,10,20,1000,40,0,0
50732,25366,50733,160,4882,39261878,490,10,1,14,0,0
50733,25366,50732,4882,160,460738122,1000,10,1000,40,0,0
50734,25367,50735,3741,219,1326438015,1000,2,1000,40,0,0
50735,25367,50734,219,3741,15450776985,4000,700,1000,200,0,0
50736,25368,50737,54,5085,10030513,1000,1,1000,40,0,0
50737,25368,50736,5085,54,251843487,1000,1,1000,40,0,0
50738,25369,50739,4882,130,166327855,1000,1,1000,40,0,1
50739,25369,50738,130,4882,1833672145,1,1,1000,40,0,0
50740,25370,50741,468,2382,543513120,1000,1,1000,40,0,0
50741,25370,50740,2382,468,5411396880,0,1,1,10,0,0
50742,25371,50743,4889,77,56132706,1000,250,1000,40,0,0
50743,25371,50742,77,4889,943867294,1000,1700,1000,40,0,0
50744,25372,50745,5138,4552,59019409,1000,1,1000,40,0,0
50745,25372,50744,4552,5138,940980591,5000,75,1000,40,0,0
50746,25373,50747,457,5080,16768445,199,199,1,40,0,0
50747,25373,50746,5080,457,153231555,1000,1,1000,40,0,0
50748,25374,50749,2010,5145,50350277,0,107,1,34,0,0
50749,25374,50748,5145,2010,1949649723,1000,1,1000,40,0,1
50750,25375,50751,5146,4048,96596655,1000,1,1000,40,0,1
50751,25375,50750,4048,5146,1403403345,1000,1,1000,40,0,3
50752,25376,50753,177,2938,663392371,1000,100,1,144,0,0
50753,25376,50752,2938,177,10534910629,1000,1,1000,40,0,0
50754,25377,50755,820,4166,687853102,1000,1,1000,40,0,0
50755,25377,50754,4166,820,14312146898,1000,2250,100,40,0,0
50756,25378,50757,4016,820,629462881,1000,2250,100,40,0,0
50757,25378,50756,820,4016,14370537119,1000,1,1000,40,0,0
50758,25379,50759,54,4882,28554930,1000,1,1000,40,0,0
50759,25379,50758,4882,54,270681070,1000,1,1000,40,0,0
50760,25380,50761,177,5147,41632810,1000,100,1,144,0,0
50761,25380,50760,5147,177,758367190,1000,1,1000,40,0,0
50762,25381,50763,4598,5147,75021534,1000,10,1,34,0,0
50763,25381,50762,5147,4598,724978466,1000,1,1000,40,0,0
